Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
THrilling show.very interested,thrilling/interested,,"Suspense/Mystery/thrillers,Interesting/engaging,,,,,"
good quality acting. love sci fi shows in general. Love the way the robots think/act so much like humans but are completely different in motivations. Want to see what happens next.,good quality acting/good quality/quality acting/good/acting,love sci fi/good quality acting/love,"Good acting,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,,,"
The characters in the show and the story line.,story line/line/characters/show/story,story line,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
na,,,"None/no answer,,,,,,"
LOVE DELORES ROLE,love delores role/love delores/delores role/love/role,delores,"Like the character Dolores Abernathy,,,,,,"
I remember seeing the movie when I was younger. This is a good adaptation of it.,remember seeing/younger/remember/seeing/movie,good adaptation,"Good/like the show/everything,,,,,,"
The characters and the storyline,storyline/characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I have only seen one show but I guess the fact that it pertains to science fiction.,seen one show/one show/seen one/show/science fiction,science fiction,"Have not watched enough to comment/not familiar with the show,Science fiction/fantasy,,,,,"
The plot,plot,,"Good storyline/subject matter,,,,,,"
Fun,fun,,"Witty/humorous/funny/entertaining,,,,,,"
it has such a good storyline and great characters!,great characters/good storyline/characters/good/storyline,good storyline,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The plot and storyline,storyline/plot and storyline/plot,plot,"Good storyline/subject matter,,,,,,"
Dolores’ storyline. She is a strong feminine chsracter,dolores/storyline/feminine chsracter/chsracter/strong feminine chsracter,strong feminine,"Like the character Dolores Abernathy,Good storyline/subject matter,,,,,"
ajdflajdfkjsadf;js;fsjaf,,,"None/no answer,,,,,,"
"High quality, interesting story",high quality/interesting story/high/quality/interesting,high quality,"High quality show/high production values,Interesting/engaging,Good storyline/subject matter,,,,"
Good flick,good flick/good/flick,good,"Good/like the show/everything,,,,,,"
A good show offers an escape from the real world without being stupid and/or too complicated.,good show offers/real world without/good show/show offers/real world,good show/real,"Good/like the show/everything,Other show characteristic mentions,,,,,"
nothing,nothing,,"None/no answer,,,,,,"
My husband watches it and I see some of the show while he watches it.,husband watches/watches/husband/see/show,husband,"Have not watched enough to comment/not familiar with the show,,,,,,"
"The appealing action, story, show",story/show/appealing action/action/appealing,appealing action,"Like the action/adventurous,Good storyline/subject matter,Good/like the show/everything,,,,"
It’s visually stunning with compelling characters and fantastic premise but so damn hard to follow. I usually have to watch each episode twice to understand what happened,visually stunning/compelling characters/fantastic premise/damn hard/visually,compelling characters/fantastic,"Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,Good storyline/subject matter,,,,"
"This third season lost all of its charm to me. The end of the second season was so confusing, and the beginning of this one is not interesting. Super disappointed.. will probably not watch the rest of this season",third season lost/third season/season lost/season/third,second season/third season/season/end/charm,"All negative mentions,,,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
The special effects and acting are good.,special effects/good/acting are good/special/effects,special effects,"Good visuals/graphics/special effects,Good acting,,,,,"
The look into the future. The cast is great actors.,future/great actors/look/actors/cast,great actors,"Futuristic,Good cast/actors,,,,,"
It's ciol,ciol,,"Good/like the show/everything,,,,,,"
The fact that it integrates elements of westerns into it.,integrates elements/fact/integrates/elements/westerns,fact,"Western aspect,,,,,,"
"Heard good things including cast, writing & special effects",heard good things/things including cast/special effects/good things including/writing,good things/special,"Heard good review/recommendations by family/friends,Good cast/actors,Like the writing/dialog,Good visuals/graphics/special effects,,,"
Not sure,sure,,"Don't know,,,,,,"
Very funny,funny,,"Witty/humorous/funny/entertaining,,,,,,"
Its a good show because it allows you to see what could be.,good show/good/show/allows/see,good,"Good/like the show/everything,Futuristic,,,,,"
i like to imagine how our progress is inevitably our destruction,destruction/inevitably our destruction/like/imagine/progress,progress,"Science fiction/fantasy,Other realistic/association with real life mentions,,,,,"
it is very futirwitic to me and an escape,escape/futirwitic,futirwitic,"Futuristic,Other misc. mentions,,,,,"
the evolution of humans and robots and how we are becoming so intertwined,humans and robots/intertwined/becoming so intertwined/evolution/humans,humans/evolution,"Technology involvement/overpowering human life,,,,,,"
I am a big fan of the science fiction genre and Westworld has great acting and graphics,science fiction genre/big fan/science fiction/fiction genre/great acting,big fan/fiction/great,"Science fiction/fantasy,Good acting,Good visuals/graphics/special effects,,,,"
"The series delves deep into the ethics of artificial intelligence,I like it for that",series delves deep/artificial intelligence/series delves/delves deep/intelligence,artificial intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
bring more actresses,bring/actresses/bring more actresses,more,"All negative mentions,,,,,,"
It makes me happy when I watch it,makes/happy/watch/makes me happy,,"Witty/humorous/funny/entertaining,,,,,,"
"I've been hooked since the beginning of season 1. The show is mesmerizing, outstanding cast, acting and writing. Just love it. I've not yet watched season 3 it's on my DVR but plan to start it very soon.",hooked since/outstanding cast/hooked/since/beginning,outstanding cast/season/beginning,"Good/like the show/everything,Good cast/actors,Good acting,Like the writing/dialog,Have not watched enough to comment/not familiar with the show,,"
"It continues a narrativre and how AI is evolving into ""real"" peoplw",real/peoplw/continues/narrativre/evolving,ai/narrativre,"Other realistic/association with real life mentions,,,,,,"
The science fiction aspect of it and how it’s based on an older movie. I also think it being on HBO is a plus because it is not as limited as it would be on a cable network like ABC,science fiction aspect/older movie/science fiction/fiction aspect/network like abc,cable network/older movie/fiction,"Science fiction/fantasy,Other misc. mentions,Aired on HBO,,,,"
The characters. The storyline makes a good show.,characters/good show/storyline makes/show/storyline,good show,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I keeps you guessing. You never really know what's going to happen next.,guessing/keeps you guessing/happen next/never really know/keeps,,"Thought provoking,Suspense/Mystery/thrillers,,,,,"
Futuristic creations,futuristic creations/futuristic/creations,futuristic,"Futuristic,,,,,,"
Complex storytelling,complex storytelling/complex/storytelling,complex,"Complex storyline,,,,,,"
I like the cast and the story line its new and original,like the cast/story line/original/new and original/like,story line,"Good cast/actors,Good storyline/subject matter,Unique/different,Original,,,"
they keep it interesting who knew delores was the original and everyone after was a piece of her now it makes you wonder who really created delores and why also seracs brother was supposed to be the crazy one i am really questioning that i think serac is the mental one,knew delores/really created delores/also seracs brother/delores/created delores,mental one/crazy one/interesting,"Interesting/engaging,Like the character Dolores Abernathy,Other storyline/Plot mentions,,,,"
"originally it was the tie to the original movie, but I just enjoy the acting, production value and stories",original movie/production value/originally/movie/acting,original movie/production,"Already seen/like the original movie,Good acting,Good storyline/subject matter,High quality show/high production values,,,"
The future of A.I. and the fantasy,fantasy/future,future,"Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,,,,,"
good,good,,"Good/like the show/everything,,,,,,"
the complexity of the story and timeline,timeline/story and timeline/complexity/story,complexity,"Complex storyline,Other misc. mentions,,,,,"
"The production has been solid throughout all the seasons with great writing, acting and overall story telling. The show is exciting and gives alot to talk about with fans.",overall story telling/great writing/story telling/solid throughout/overall story,overall story telling/great writing/production,"High quality show/high production values,Like the writing/dialog,Good acting,Good storyline/subject matter,Exciting,Heard good review/recommendations by family/friends,"
The cast members,cast members/members/cast,cast,"Good cast/actors,,,,,,"
I like the concept but just haven’t gotten around to watching past the first half of season 1,gotten around/watching past/first half/gotten/like,first half,"Like the concept/idea of futuristic amusement park,Have not watched enough to comment/not familiar with the show,,,,,"
"nothing really. I am not into that type of show, I like realistic shows, subject matter I can relate to",nothing really/like realistic shows/nothing/really/realistic shows,realistic shows/subject,"None/no answer,,,,,,"
Is excellent and very good quality,good quality/quality/excellent/good,good,"Good/like the show/everything,High quality show/high production values,,,,,"
The story is like nothing else on TV and keeps me entertained and hooked,like nothing else/like nothing/nothing else/hooked/entertained and hooked,story,"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
engaging and fresh,engaging/fresh/engaging and fresh,engaging,"Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,,,,,"
great its good,great/good/great its good,great,"Good/like the show/everything,,,,,,"
nice cool,nice cool/nice/cool,nice,"Good/like the show/everything,,,,,,"
I love you so I’ll see you soon bye love you guys love you too love you so I’ll see you tomorrow love you guys love you too love you so much love y’all I’ll see you soon love you guys bye love you guys love you too bye love you guys love you too bye,love/guys love/love you guys/guys/bye,guys,"None/no answer,,,,,,"
mellow,mellow,,"Other show characteristic mentions,,,,,,"
The actors and some of the plots of the episodes.,episodes/actors/plots,actors,"Good cast/actors,Multiple story lines,,,,,"
The futuristic elements and the Wild West vibe blend really well. There is an all star cast list.,wild west vibe/west vibe blend/blend really well/vibe blend really/wild west,west vibe/cast/futuristic,"Futuristic,Western aspect,Good cast/actors,,,,"
No u are the me do un beso a la gente a tu alrededor de tu parte te quiero te extraño te quiero un abrazo grande a todos gracias gracias te quiero un abrazo grande a todos gracias gracias te quiero,quiero/gracias/todos gracias gracias/gracias gracias/todos gracias,gracias gracias te/tu parte te/un abrazo/te/tu,"None/no answer,,,,,,"
very good,good,,"Good/like the show/everything,,,,,,"
Definitely the actors,definitely/actors/definitely the actors,,"Good cast/actors,,,,,,"
The artificial intelligence aspect,artificial intelligence aspect/intelligence aspect/artificial intelligence/aspect/artificial,intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The well-known actors and the overall plot. The futuristic elements make it all the more exciting.,known actors/overall plot/futuristic elements make/well/known,overall plot/futuristic,"Good cast/actors,Good storyline/subject matter,Futuristic,Exciting,,,"
I like how it's a creepy amusement park and only certain people can get in.,creepy amusement park/creepy amusement/amusement park/certain people/like,amusement/certain,"Like the concept/idea of futuristic amusement park,,,,,,"
the characters and actors,actors/characters and actors/characters,characters,"Appealing characters/I like the characters,Good cast/actors,,,,,"
The mystery surrounding the storyline,mystery surrounding/storyline/surrounding the storyline/mystery/surrounding,mystery,"Suspense/Mystery/thrillers,,,,,,"
I have always loved robot shows and the grittiness like game of thrones is what keeps me watching. The nudity could be increased tastefully and *&@!# scenes would be favorable. Longer seasons are also something I want.,always loved robot/loved robot shows/grittiness like game/always loved/loved robot,# scenes/robot shows/longer,"Technological aspects (inclusion of robots, exploring AI, etc.),Other misc. mentions,,,,,"
the spirits are getting more exciting and intense,intense/exciting and intense/spirits/getting/exciting,spirits,"Exciting,Intense/serious,,,,,"
Westworld draws me by being futuristic and thought provoking. This show has taken the sci-fi genre to another level of entertainment which I enjoy.,westworld draws/thought provoking/westworld/provoking/draws,fi genre/futuristic/westworld,"Futuristic,Thought provoking,Science fiction/fantasy,Witty/humorous/funny/entertaining,,,"
The interesting plot,interesting plot/plot/interesting,interesting,"Good storyline/subject matter,,,,,,"
everything really,everything really/everything/really,,"Good/like the show/everything,,,,,,"
The main story line. It's interesting.,main story line/story line/main story/interesting/line,main story,"Good storyline/subject matter,,,,,,"
good,good,,"Good/like the show/everything,,,,,,"
It is interesting and the the story lines keep me curious.,story lines keep/story lines/lines keep/curious/story,story lines,"Interesting/engaging,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
good,good,,"Good/like the show/everything,,,,,,"
I like when there are twists in a show I do not see coming. Westworld always has many of these.,see coming/coming/westworld always/like/twists,show/twists,"Suspense/Mystery/thrillers,,,,,,"
"I always seem to be confused and yet it draws me back in, because I want answers. It’s inviting because you hope something will get answered in the next episode, which maybe only 25% of your questions get answered, but it still keeps me coming back.",want answers/always seem/answers/get answered/questions get answered,next episode/confused,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
Character arch,character arch/character/arch,character,"Appealing characters/I like the characters,,,,,,"
The idea of a park where people can let their darker side loose without fear of consequences. It was an interesting look into the human psyche to see what lies just below the surface.,darker side loose/side loose without/loose without fear/darker side/side loose,darker side/human psyche/interesting look,"Like the concept/idea of futuristic amusement park,Technology involvement/overpowering human life,,,,,"
I love sci fi in general but I really liked the whole robot part. I think robots are still something that’s interesting and it brings up questions of whether or not it’s ok to be a bad person just because you think somethings not human. I love the drama overall and the characters working together.,love sci/whole robot part/general/sci/robot part,whole robot/drama overall/bad person/sci fi,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Like the drama,Other characters mentions,,,"
The storyline really keeps me wanting to see what happens next,storyline really keeps/happens next/storyline really/really keeps/next,,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"Everything about it, the whole concept",whole concept/everything/concept/whole,whole,"Good/like the show/everything,Like the concept/idea of futuristic amusement park,,,,,"
I like the Sci Fi genre and the focus on futuristic elements. It is a unique plot with unique futuristic possibilities that could exist in real life.,futuristic elements/sci/elements/sci fi genre/like the sci,unique futuristic/real life/futuristic/fi/unique,"Science fiction/fantasy,Futuristic,Unique/different,Like the premise/setting/scenery,,,"
"Everything was perfect, I think",everything/perfect/think/everything was perfect,,"Good/like the show/everything,,,,,,"
The acting is superb. Storyline is complex and intriguing. Shows keeps me guessing what will happen next.,superb/acting is superb/acting/shows keeps/happen next,storyline/superb/acting,"Good acting,Complex storyline,Interesting/engaging,Suspense/Mystery/thrillers,,,"
The futuristic aspect of the show is very interesting. The different twists they have added is also interesting. I hope they reopen the park.,futuristic aspect/also interesting/interesting/futuristic/aspect,futuristic aspect/different,"Futuristic,Suspense/Mystery/thrillers,Like the concept/idea of futuristic amusement park,,,,"
The futuristic style and the dialogue in the show is very appealing to and makes me very interested to watch more. I think this combined with the number of talented actors makes this a good show.,futuristic style/talented actors makes/actors makes/good show/show,talented actors/futuristic style/show,"Futuristic,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,Good cast/actors,Good/like the show/everything,,"
the girls are hot,hot/girls are hot/girls,girls,"Good cast/actors,,,,,,"
The whole thing is intrigue built on top of itself in a fascinating way.,fascinating way/whole thing/intrigue built/way/whole,whole thing/fascinating,"Good/like the show/everything,,,,,,"
i into this show is so good,good/show,show,"Good/like the show/everything,,,,,,"
"The way it relates to issues today, but still is fantasy. The story, writing and acting are incredible.",issues today/today/fantasy/still is fantasy/way,issues today/fantasy/way,"Relevant to 21st century/existing in the world today/reflects our current society,Science fiction/fantasy,Good storyline/subject matter,Like the writing/dialog,Good acting,,"
great quality each episode is good whit some boring scene but excellent,great quality/good whit/boring scene/great/excellent,good whit/great quality,"High quality show/high production values,Good/like the show/everything,,,,,"
"The acting and storylines are great, the plot is new.",great/new/storylines are great/plot is new/acting,storylines/acting,"Good acting,Good storyline/subject matter,Unique/different,,,,"
make the plot clearer,plot clearer/make/clearer/make the plot/plot,plot,"All negative mentions,,,,,,"
THIS SHOW CONCEPT VERY EXCILENT,show concept/concept/show/excilent,show,"Like the concept/idea of futuristic amusement park,,,,,,"
It is a cool show,cool show/show/cool,cool,"Good/like the show/everything,,,,,,"
I'm fascinated with artificial intelligence and I love the actors,artificial intelligence/fascinated/actors/fascinated with artificial/love the actors,artificial,"Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,,,,,"
"in the beginning it was new and different, and kept you guessing as to what was going to happen, and who was going to show up where. Then it became predictable, as if the writers had run out of ideas for the plot",going/different/happen/became predictable/going to happen,different/new/beginning,"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Storyline,storyline,,"Good storyline/subject matter,,,,,,"
my husband made me watch this shows and my first impressions i dont like it until my husband keep watching it until i understand the story and it was cool very exciting movie,husband keep watching/exciting movie/first impressions/keep watching/husband made,first impressions/exciting,"Good/like the show/everything,Exciting,,,,,"
"It is fun, entertaining and full of interesting events",interesting events/fun/entertaining/events/entertaining and full,interesting events,"Witty/humorous/funny/entertaining,Interesting/engaging,,,,,"
"Great acting across the board, but Aaron Paul is the best it’s one his best roles",aaron paul/great acting across/great acting/acting across/aaron,great acting/aaron,"Good acting,Like Aaron Paul,,,,,"
Los robots de un parque de diversiones futurista basado en el Salvaje Oeste enloquecen y se convierten en una amenaza para los visitantes.,salvaje oeste enloquecen/salvaje oeste/diversiones futurista basado/oeste enloquecen/diversiones futurista,salvaje oeste enloquecen y/de diversiones futurista/de/los/se,"All negative mentions,,,,,,"
has character interesting and good brand,good brand/character interesting/brand/character/interesting,character interesting,"Appealing characters/I like the characters,,,,,,"
new story line,new story line/new story/story line/new/line,story,"Unique/different,,,,,,"
im drawn into the characters and i wanna see how this plays out,wanna see/drawn/characters/wanna/see,characters,"Appealing characters/I like the characters,,,,,,"
Cast overall,cast overall/cast/overall,,"Good cast/actors,,,,,,"
The futuristic aspect,futuristic aspect/aspect/futuristic,futuristic,"Futuristic,,,,,,"
The characters,characters,,"Appealing characters/I like the characters,,,,,,"
the story line and the actors the 1st season was great,story line/1st season/great/season was great/story,story line/1st,"Good storyline/subject matter,Good cast/actors,Good experience/liked the previous seasons,,,,"
The adventure and anticipation keeps me hanging on.,anticipation keeps/adventure/anticipation/keeps/hanging,adventure,"Like the action/adventurous,Science fiction/fantasy,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
The imagination becoming reality is pretty cool. The sci-fi aspect of the the show is trilling.,imagination becoming reality/pretty cool/imagination becoming/becoming reality/cool,fi aspect/imagination,"Science fiction/fantasy,Suspense/Mystery/thrillers,,,,,"
all the cast members and the plot and how twisted it is.,cast members/cast/members/plot/twisted,cast members,"Good cast/actors,Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,"
"I just love all the complex twist in the story, it keep me watching",complex twist/story/watching/keep me watching/love,complex,"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"I think the show is fantastic because it is unique in its storytelling, has compelling characters, features a diverse, talented cast, and is in high in production quality. I enjoy watching each week to catch up on the mysteries and trying to make guesses about twists and what's going to happen. I can never quite predict everything going on and that's part of the fun, getting to be surprised and engaged every week.",talented cast/compelling characters/production quality/storytelling/characters,production quality/talented cast/compelling characters/unique/fantastic,"Good/like the show/everything,Unique/different,Good storyline/subject matter,Appealing characters/I like the characters,Good cast/actors,High quality show/high production values,Attention grabbing/holds interest/keeps you wanting to watch more"
it is a high energy show,high energy show/energy show/high energy/show/high,energy,"Intense/serious,,,,,,"
HBO high quality direction and overall production.,hbo high quality/hbo high/high quality direction/overall production/hbo,high quality/overall,"Other acting mentions,High quality show/high production values,,,,,"
The use of innovation technology and the overall cast of actors and the storyline is interesting that keeps you on the edge of your seat.,innovation technology/overall cast/seat/use/innovation,overall cast/innovation technology/use,"Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
great things her erugtnow ove ryjerer,erugtnow ove ryjerer/great things/ove ryjerer/erugtnow ove/great,great,"None/no answer,,,,,,"
"The characters, Ed Harris, and Aron Paul",aron paul/harris/paul/aron/characters,ed harris,"Appealing characters/I like the characters,Like Ed Harris,Like Aaron Paul,,,,"
The cast and the plots,plots/cast,cast,"Good cast/actors,Good storyline/subject matter,,,,,"
"intelligent dialogue and plot direction, superior acting, beautiful cinematography",superior acting/beautiful cinematography/intelligent dialogue/plot direction/intelligent,plot direction/intelligent dialogue,"Like the writing/dialog,Like the premise/setting/scenery,Good acting,Good visuals/graphics/special effects,,,"
I love the concept,concept/love the concept/love,,"Like the concept/idea of futuristic amusement park,,,,,,"
great,great,,"Good/like the show/everything,,,,,,"
the backstory and the evolution of the characters,characters/backstory/evolution,backstory,"Good storyline/subject matter,Like the characters development,,,,,"
remember the original movie so it is fun,original movie/remember/fun/remember the original/original,original,"Already seen/like the original movie,Witty/humorous/funny/entertaining,,,,,"
The beauty of Evan Rachel Wood. Her character and looks are mezmorizing.,evan rachel wood/rachel wood/evan rachel/wood/evan,evan rachel,"Like Evan Rachel Wood,Appealing characters/I like the characters,,,,,"
I liked this all time,time/liked,,"Good/like the show/everything,,,,,,"
So unique,unique,,"Unique/different,,,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
characters and concept,characters/concept/characters and concept,characters,"Appealing characters/I like the characters,Like the concept/idea of futuristic amusement park,,,,,"
it is different than other shows that are on in a good way,good way/way/different/shows/good,other shows,"Unique/different,,,,,,"
Has some of my favorite actors. It's a great show cause it is unique in its settings and storylines. It's different from other shows.,favorite actors/great show cause/actors/favorite/great show,great show/favorite actors/other,"Good cast/actors,Good/like the show/everything,Unique/different,Like the premise/setting/scenery,Good storyline/subject matter,,"
The concepts of AI and personal identity it explores,personal identity/explores/identity it explores/concepts/personal,personal identity,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The novel concept of the show.,novel concept/show/novel/concept,novel,"Unique/different,,,,,,"
"Makes us think, makes your imagination wander",imagination wander/makes/think/wander/makes us think,,"Thought provoking,Science fiction/fantasy,,,,,"
Everything. I can’t pick just one. Seriously love this show,everything/pick/one/seriously/show,,"Good/like the show/everything,,,,,,"
I think it's interesting how the AI become so real and adapt and change to be like real people. It really makes you think.,like real people/real people/like real/interesting/people,real people/real,"Interesting/engaging,Technology involvement/overpowering human life,Thought provoking,,,,"
The movie and book it is based on.,movie/book/based/movie and book,movie,"Other misc. mentions,,,,,,"
I don't like the sci-fi ness of it. So I don't plan to watch anymore,like/sci/like the sci/watch anymore/ness,fi,"All negative mentions,,,,,,"
season 1 was poor. I lost all interest in this show from that point. I won't be watching anymore,season/poor/watching anymore/point/anymore,poor/season,"All negative mentions,,,,,,"
This show has nothing that I would be interested in,show/nothing/would/interested/show has nothing,show,"All negative mentions,,,,,,"
Very addicting,addicting,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"Love the AI, becoming aware, aspect. Seems like plausible view of our future.",becoming aware/aspect/love/becoming/aware,plausible view/ai,"Technological aspects (inclusion of robots, exploring AI, etc.),Futuristic,,,,,"
I really like that now that Dolores is outside the park shes replacing people with duplicates with the pearls she took from the park. it adds a sense of tension to the show you don't know who to trust,really like/replacing people/people with duplicates/park/dolores,duplicates/people/park/dolores,"Like the character Dolores Abernathy,Other realistic/association with real life mentions,,,,,"
I love the show,show/love the show/love,,"Good/like the show/everything,,,,,,"
good so,good,,"Good/like the show/everything,,,,,,"
I love everything about it. I like that it twists I love the actors and characters. My fiance likes it so we can watch it together. I like that it has many different sets not just in one place.,love everything/love/everything/like/fiance likes,many different sets,"Good/like the show/everything,Suspense/Mystery/thrillers,Good cast/actors,Appealing characters/I like the characters,Can watch with family/family likes the show,Like the premise/setting/scenery,"
everything the whole element of the story,whole element/everything/story/everything the whole/whole,whole,"Good/like the show/everything,Good storyline/subject matter,,,,,"
It is like unraveling a puzzle,like unraveling/puzzle/like/unraveling,,"Suspense/Mystery/thrillers,,,,,,"
The great story,great story/story/great,great,"Good storyline/subject matter,,,,,,"
I am interested in the artificial intelligence aspect and the complex storylines.,artificial intelligence aspect/complex storylines/artificial intelligence/intelligence aspect/storylines,complex storylines/intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),Complex storyline,,,,,"
"Wonderful sets, interesting storyline, surprises",wonderful sets/interesting storyline/surprises/wonderful/sets,wonderful sets,"Like the premise/setting/scenery,Good storyline/subject matter,Suspense/Mystery/thrillers,,,,"
It seems relevant to current events. What drew me to want to watch the show was how many people are talking about it,current events/seems relevant/events/seems/relevant,current events/many,"Relevant to 21st century/existing in the world today/reflects our current society,Heard good review/recommendations by family/friends,,,,,"
It is interesting and has twists and turns,turns/twists and turns/interesting/twists,interesting,"Interesting/engaging,Suspense/Mystery/thrillers,,,,,"
It's an interesting show,interesting show/show/interesting,interesting,"Interesting/engaging,,,,,,"
It’s addicting,addicting,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The themes are interesting and thought provoking.,thought provoking/provoking/themes/interesting/thought,themes,"Interesting/engaging,Thought provoking,,,,,"
I like sci-fi shows,like sci/sci/shows/like,fi,"Science fiction/fantasy,,,,,,"
Great acting,great acting/great/acting,great,"Good acting,,,,,,"
Special effects,special effects/special/effects,special,"Good visuals/graphics/special effects,,,,,,"
The acting the sets and the story,acting the sets/story/acting/sets,sets,"Good acting,Like the premise/setting/scenery,Good storyline/subject matter,,,,"
I would like to start from the beginning and watch all of them,would like/would/like/start/beginning,,"Good/like the show/everything,,,,,,"
Story acting and production.,story acting/story/production/acting and production/acting,story,"Good storyline/subject matter,Good cast/actors,High quality show/high production values,,,,"
nothing,nothing,,"None/no answer,,,,,,"
I like my futuristic it is and it's not like anything else that's on TV right now.,futuristic/like/like my futuristic/like anything/anything,futuristic,"Futuristic,Unique/different,,,,,"
THE STORIES AND CONCEPT OF THE SHOW IS UNIQUE,unique/show is unique/stories/concept/show,stories,"Good storyline/subject matter,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
the storyline,storyline,,"Good storyline/subject matter,,,,,,"
Nothing makes me want to watch it.,nothing makes/nothing/makes/want/watch,,"All negative mentions,,,,,,"
"everything, it is a so good serie, so different and interesting",good serie/everything/serie/interesting/different and interesting,good serie,"Good/like the show/everything,Unique/different,Interesting/engaging,,,,"
I like the overall sci-fi theme and the idea that there is a simulation people are living in,overall sci/simulation people/sci/like/overall,overall sci/fi,"Science fiction/fantasy,Like the concept/idea of futuristic amusement park,,,,,"
The first season was great and 8 lived it and it just sucked me in. I like that it was so confusing and weird,first season/first/season/great/lived,first season,"Good experience/liked the previous seasons,,,,,,"
They are able to tie everything back in,tie everything back/tie everything/everything back/able/tie,,"Other storyline/Plot mentions,,,,,,"
The futuristic amusement park which is looked after by robotic host. I also like the aspect of the artificial intelligence consciousness.,futuristic amusement park/robotic host/futuristic amusement/amusement park/artificial intelligence consciousness,robotic host/intelligence/amusement,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
The over all show need to make time to watch it,show need/need to make/make time/show/need,show,"Other misc. mentions,,,,,,"
Everyone talking about it,everyone talking/everyone/talking,,"Heard good review/recommendations by family/friends,,,,,,"
Good,good,,"Good/like the show/everything,,,,,,"
"Now of course, a series doesn't have to satisfy all these conditions to be great. Some shows don't have a good atmosphere, or interesting topics, or great characters, and are still very good.I think it.",course/great/great characters/series/satisfy,interesting topics/good atmosphere/good/great,"Good/like the show/everything,,,,,,"
The multicultural cast.,multicultural cast/cast/multicultural,multicultural,"Other acting mentions,,,,,,"
is excellent,excellent,,"Good/like the show/everything,,,,,,"
I love all the chaos and action,action/chaos and action/love/chaos,chaos,"Suspense/Mystery/thrillers,Like the action/adventurous,,,,,"
Spiritual Components,spiritual components/components/spiritual,spiritual,"Other show type mentions,,,,,,"
It's original compared to everything else that's on TV right now. It's a bit hard to follow but that makes it exciting. It makes me want to rewatch it to understand it better and it also gives me something to talk about with other people that watch the show. I think it's a show that can be watched over and over again and each time it gives you a better insight. It's a show that makes you think. I also like the actors and am really happy to see Aaron Paul on a show again after watching him for so long on Breaking Bad.,original compared/everything else/show/makes/see aaron paul,aaron paul/better insight/other people/bit hard/better,"Original,Exciting,Attention grabbing/holds interest/keeps you wanting to watch more,Other show characteristic mentions,Good cast/actors,Like Aaron Paul,"
I like it because it is an intersection of the near future and reimagined past.,reimagined past/near future/past/like/intersection,near future,"Futuristic,Other storyline/Plot mentions,,,,,"
"Because it has a great plot, story, characters,and a lot of drama, which is always good to have",great plot/always good/story/characters/plot,great plot/story,"Like the premise/setting/scenery,Good storyline/subject matter,Appealing characters/I like the characters,Like the drama,Good/like the show/everything,,"
I like it cause it’s about robots and what happens when they revolt.,like it cause/revolt/like/cause/robots,,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
it is very modern with interesting twists,interesting twists/twists/modern/interesting/modern with interesting,interesting,"Creative/innovative/modern,Suspense/Mystery/thrillers,,,,,"
I loved the first season! After that it’s so hard to follow.,first season/season/loved/first/follow,first,"All negative mentions,,,,,,"
The cast.,cast,,"Good cast/actors,,,,,,"
The drama and the suspect and the script is just good overall.,good overall/overall/drama/suspect/script,suspect/drama,"Like the drama,Like the writing/dialog,,,,,"
