Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
BECAUSE MY FRIENDS AND I WATCH WESTWORLD TOGETHER,watch westworld together/westworld together/watch westworld/together/friends,watch westworld together/friends,my,my,"Can watch with family/family likes the show,,,,,,"
It has a good cast and writing and it explores a topic that no other show or movie is or has covered.,good cast/cast and writing/show or movie/covered/good,good cast/cast and writing/show or movie/covered,good cast/other,good cast/other,"Good cast/actors,Like the writing/dialog,Unique/different,,,,"
The cast just hits home with me. Love Jeffrey Wright and Evan Rachel Wood in particular. They are special talents.,evan rachel wood/love jeffrey wright/hits home/jeffrey wright/evan rachel,evan rachel wood/love jeffrey wright/hits home,jeffrey wright/rachel/special,jeffrey wright/rachel/special,"Good cast/actors,Other acting mentions,Like Evan Rachel Wood,Good acting,,,"
The sci fi genre,genre/sci fi genre/sci,sci fi genre,fi,fi,"Science fiction/fantasy,,,,,,"
"Evolving storyline, characters are complex. The concept of AI as a fantasy that is paid for like going to an amusement park",evolving storyline/evolving/storyline/characters/complex,evolving storyline/characters/complex,amusement park/characters/storyline,amusement park/characters/storyline,"Other storyline/Plot mentions,Like the character complexity,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
The outstanding scripts and cast makes it a show on the level of Game of Thrones,level of game/outstanding scripts/cast makes/thrones/game of thrones,level of game/outstanding scripts/cast makes/game of thrones,outstanding scripts/cast,outstanding scripts/cast,"Like the writing/dialog,Good cast/actors,Other misc. mentions,,,,"
interesting characters,interesting characters/interesting/characters,interesting characters,interesting,interesting,"Interesting/engaging,Appealing characters/I like the characters,,,,,"
The characters and the possibility of AI,characters/possibility,characters/possibility,characters,characters,"Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
The excitement,excitement,excitement,,,"Exciting,,,,,,"
complex storyline,complex storyline/complex/storyline,complex storyline,complex,complex,"Complex storyline,,,,,,"
the intrique,intrique,intrique,,,"Interesting/engaging,,,,,,"
It is very edgy and interesting visually. The high definition imagery really showcases the effects so well. It is very immersive. I like the idea of machines learning as well.,interesting visually/visually/high definition imagery/definition imagery really/imagery really showcases,interesting visually/high definition imagery/definition imagery really/imagery really showcases,high definition imagery/edgy,high definition imagery/edgy,"Attention grabbing/holds interest/keeps you wanting to watch more,Interesting/engaging,Good visuals/graphics/special effects,Other misc. mentions,,,"
The futuristic aspect of it,futuristic aspect/futuristic/aspect,futuristic aspect,futuristic,futuristic,"Futuristic,,,,,,"
"It is unpredictable, it has great acting, the stories go in unexpected directions. I like the new direction of the show. It deals with privacy and data issues",great acting/unexpected directions/unpredictable/acting/directions,great acting/unexpected directions/unpredictable,new direction/unexpected directions/great acting,new direction/unexpected directions/great acting,"Suspense/Mystery/thrillers,Good acting,Unique/different,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
Not much of anything better on tv,anything better/much/anything/better/much of anything,anything better/much of anything,much,much,"Good/like the show/everything,,,,,,"
It’s good sci-fi.,good sci/good/sci,good sci,good,good,"Science fiction/fantasy,,,,,,"
i find it intriguing and the wife likes it quite a bit; we watch the show together.,show together/wife likes/bit/together/find,show together/wife likes/bit/find,wife/intriguing,wife/intriguing,"Interesting/engaging,Can watch with family/family likes the show,,,,,"
I like the AI concept they had going on. It was really neat!,like/concept/going/really neat/neat,like/concept/going/really neat,ai,ai,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The constantly changing narratives of the characters. Plus I like violence and nudity.,constantly changing narratives/constantly changing/changing narratives/characters/constantly,constantly changing narratives/characters,characters/narratives,characters/narratives,"Suspense/Mystery/thrillers,Violence,Other storyline/Plot mentions,,,,"
"Its exciting, the plot twists are amazing and it is incredibly thought provoking. The idea that this is a possible future of the human race makes it even more interesting to watch.",incredibly thought provoking/thought provoking/plot twists/incredibly thought/human race makes,incredibly thought provoking/plot twists/human race makes,possible future/plot twists/human,possible future/plot twists/human,"Exciting,Suspense/Mystery/thrillers,Thought provoking,Futuristic,Attention grabbing/holds interest/keeps you wanting to watch more,,"
I like it so much,much/like,much/like,,,"Good/like the show/everything,,,,,,"
The whole idea of it is very interesting,whole idea/interesting/whole/idea,whole idea/interesting,whole,whole,"Like the concept/idea of futuristic amusement park,,,,,,"
Ruined a classic,ruined/classic,ruined/classic,,,"All negative mentions,,,,,,"
"futuristic, scary, interesting, thrilling, concept is amazing",futuristic/scary/interesting/thrilling/concept,futuristic/scary/interesting/thrilling/concept,interesting/scary/futuristic,interesting/scary/futuristic,"Futuristic,Other show characteristic mentions,Interesting/engaging,Suspense/Mystery/thrillers,Like the concept/idea of futuristic amusement park,,"
It has good acting & I like the sci-fi part of it,good acting/acting/sci/like the sci/good,good acting/like the sci,good acting,good acting,"Good acting,Science fiction/fantasy,,,,,"
I like how immersive everything gets,immersive everything gets/everything gets/immersive everything/gets/like,immersive everything gets/like,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"It reveting story with action,adventure,and twist that are such to entertain",adventure/reveting story/action/entertain/story with action,adventure/reveting story/entertain/story with action,action/story,action/story,"Good storyline/subject matter,Like the action/adventurous,Suspense/Mystery/thrillers,Witty/humorous/funny/entertaining,,,"
I really enjoy how deep and three dimensional the characters on the show are because to me this is a show where there really isn’t a clear villain and I find that fascinating.,clear villain/three dimensional/dimensional the characters/really enjoy/villain,clear villain/three dimensional/dimensional the characters/really enjoy,clear villain/deep,clear villain/deep,"Appealing characters/I like the characters,Thought provoking,Interesting/engaging,,,,"
The intrigue and the cast,cast/intrigue,cast/intrigue,intrigue,intrigue,"Interesting/engaging,Good cast/actors,,,,,"
I love the strange complexity of the show and what it offers,strange complexity/offers/love/strange/complexity,strange complexity/offers/love,strange,strange,"Complex storyline,,,,,,"
"I believe the way the manuscripts are written, the little details throughout the series that took myself for a surprise, and the characters personalities are what I believe that make it a good show.",little details throughout/good show/little details/details throughout/characters personalities,little details throughout/good show/characters personalities,characters personalities/little details/good,characters personalities/little details/good,"Like the writing/dialog,Informative/detailed,Like the characters development,Good/like the show/everything,,,"
I like the story line and the acting is very good,story line/good/like/story/line,story line/good/like,story line,story line,"Good storyline/subject matter,Good acting,,,,,"
I have never had a series draw me in so much.,series draw/much/never/series/draw,series draw/much/never,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
I like the actors on the show.,like the actors/show/like/actors,like the actors/show,actors,actors,"Good cast/actors,,,,,,"
"I think it is better than the original, and I love all of the characters and how dark the show gets.",show gets/original/gets/think/better,show gets/original/think/better,original/better,original/better,"Good/like the show/everything,Appealing characters/I like the characters,Dark/sarcastic,,,,"
It is unique compared to other television shows. I like the science fiction element of the main story.,television shows/unique compared/shows/main story/science fiction element,television shows/unique compared/main story/science fiction element,main story/fiction/television,main story/fiction/television,"Unique/different,Science fiction/fantasy,,,,,"
the surprising of each episode,episode/surprising,episode/surprising,surprising,surprising,"Suspense/Mystery/thrillers,,,,,,"
yupy yup,yupy yup/yupy/yup,yupy yup,yupy,yupy,"None/no answer,,,,,,"
High quality TV,high quality/high/quality,high quality,quality,quality,"High quality show/high production values,,,,,,"
That I'm continually surprised by it for the most part.,continually surprised/continually/part/surprised,continually surprised/part,most,most,"Suspense/Mystery/thrillers,,,,,,"
The show is interested in has very good characters,good characters/characters/show/interested/good,good characters/show/interested,good characters,good characters,"Appealing characters/I like the characters,,,,,,"
it is a really good show to watch and has a very good storyliine,really good show/good storyliine/really good/good show/storyliine,really good show/good storyliine,good,good,"Good/like the show/everything,Good storyline/subject matter,,,,,"
it has a very interesting concept,interesting concept/concept/interesting,interesting concept,interesting,interesting,"Interesting/engaging,Like the concept/idea of futuristic amusement park,,,,,"
The script & acting,acting/script,acting/script,script,script,"Like the writing/dialog,Good acting,,,,,"
none,none,none,,,"None/no answer,,,,,,"
The storyline and the characters are very enjoyable,enjoyable/storyline/characters,enjoyable/storyline/characters,storyline,storyline,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
"WESTWORLD is a sophisticated show with sophisticated performances, multi-layered acting, just very good and thought-provoking storytelling. It is a show that challenges, that surprises, that stimulates. Thandie Newton, Ed Harris and Jeffrey Wright are revelations. Evan Rachel Wood continues to be tremendous. The visual effects are cinematic. So is the production design and cinematography. Virtually everything is first-rate. WESTWORLD is appointment television, but these days we can decide when to go to that appointment, or set several appointments to accommodate viewing the whole season.",layered acting/provoking storytelling/sophisticated performances/sophisticated show/sophisticated,layered acting/provoking storytelling/sophisticated performances/sophisticated show,- layered/several appointments/appointment television/production design/visual effects,- layered/several appointments/appointment television/production design/visual effects,"Other show characteristic mentions,Good acting,Thought provoking,Suspense/Mystery/thrillers,Like the characters interaction,Like Evan Rachel Wood,Good visuals/graphics/special effects"
The storylines are great and I love the characters.,characters/love the characters/storylines/great/love,love the characters/storylines/great,storylines,storylines,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
I am hoping for this season to finally make sense of the last two seasons,last two seasons/finally make sense/two seasons/finally make/make sense,last two seasons/finally make sense,sense/season,sense/season,"Other misc. mentions,,,,,,"
I would call all my friends over and watch it with them which would make it way more fun than usual.,would call/would make/usual/would/fun than usual,would call/would make/fun than usual,more fun,more fun,"Can watch with family/family likes the show,Unique/different,,,,,"
I have watched the old versions of Westworld when I was aboy,old versions/westworld/aboy/versions of westworld/watched,old versions/aboy/versions of westworld/watched,old versions,old versions,"Already seen/like the original movie,,,,,,"
The compelling writing and characters.ai's gaining consciousness.the great cast.not knowing what's gonna happen next.,gaining/compelling writing/great/compelling/writing,gaining/compelling writing/great,compelling writing,compelling writing,"Like the writing/dialog,Appealing characters/I like the characters,Good cast/actors,Suspense/Mystery/thrillers,,,"
Its so naturally mystically without being cringey,naturally mystically without/naturally mystically/mystically without/cringey/without being cringey,naturally mystically without/without being cringey,,,"Suspense/Mystery/thrillers,,,,,,"
It’s suspenseful,suspenseful,suspenseful,,,"Suspense/Mystery/thrillers,,,,,,"
The overall action and performance of the film,overall action/film/overall/action/performance,overall action/film/performance,overall action,overall action,"Good acting,,,,,,"
"It is a visually appealing show, with good acting and a decent plot that relates to modern issues. A little hard to follow, I've watched pieces here and there while my wife has watched and it's been pretty intriguing on what develops within the story.",visually appealing show/appealing show/modern issues/visually appealing/good acting,visually appealing show/modern issues/good acting,decent plot/good acting/appealing show/modern,decent plot/good acting/appealing show/modern,"Good visuals/graphics/special effects,Good acting,Like the premise/setting/scenery,Interesting/engaging,Good storyline/subject matter,,"
I like the future feel and the ai things they have going on I'm looking forward to seeing more things like that happen,looking forward/future feel/things like/looking/happen,looking forward/future feel/things like/happen,future feel,future feel,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
"The overall genre of the show really pulls me in, I love sci fi movies tv shows and the drama and tension is amazing in this show",show really pulls/overall genre/really pulls/show really/love,show really pulls/overall genre/love,movies tv shows/overall genre,movies tv shows/overall genre,"Like the genre,Science fiction/fantasy,Like the drama,Good/like the show/everything,,,"
The overall quality of the entire story. It's always interesting and different,entire story/overall quality/story/always interesting/overall,entire story/overall quality/always interesting,overall quality/entire,overall quality/entire,"High quality show/high production values,Interesting/engaging,Unique/different,,,,"
Westworld is visually stunning and unique and sometimes surprises in the way the story goes.,story goes/visually stunning/stunning and unique/sometimes surprises/westworld,story goes/visually stunning/stunning and unique/sometimes surprises/westworld,unique/stunning/westworld,unique/stunning/westworld,"Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,Suspense/Mystery/thrillers,,,,"
It's good as far as the acting is concerned but it's not my favorite genre so I don't make an effort to watch it.,good as far/good/concerned/favorite genre/acting is concerned,good as far/favorite genre/acting is concerned,favorite genre/good,favorite genre/good,"Good acting,,,,,,"
i like it,like,like,,,"Good/like the show/everything,,,,,,"
Westworld draws me into this show and makes me want to watch because the concept is really looking into the future of technology.,westworld draws/really looking/westworld/technology/future of technology,westworld draws/really looking/future of technology,show/westworld,show/westworld,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
I like the future place where the people search entertainment but There is a dark side,people search entertainment/dark side/future place/people search/search entertainment,people search entertainment/dark side/future place,future place/dark,future place/dark,"Futuristic,Witty/humorous/funny/entertaining,Dark/sarcastic,,,,"
The overall concept,overall concept/concept/overall,overall concept,overall,overall,"Like the concept/idea of futuristic amusement park,,,,,,"
its a great show,great show/show/great,great show,great,great,"Good/like the show/everything,,,,,,"
"my husband likes to watch it and we're in quarantine so there is literally nothing else to do. i dont htink its a good show, i think the writing on this season so far is relatively poor. the show looks nice and has interesting concepts which is why i still watch but its not good writing or plotting",husband likes/husband/likes/watch/good,husband likes/watch/good,good writing/good show/interesting concepts/show/writing,good writing/good show/interesting concepts,"Attention grabbing/holds interest/keeps you wanting to watch more,Like the concept/idea of futuristic amusement park,,,,,"
The futuristic park allows its visitors to live out their fantasy through artificial consciousness,futuristic park allows/artificial consciousness/futuristic park/park allows/consciousness,futuristic park allows/artificial consciousness,futuristic park/artificial,futuristic park/artificial,"Like the concept/idea of futuristic amusement park,Science fiction/fantasy,,,,,"
Nome,nome,nome,,,"None/no answer,,,,,,"
I very good I very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very goodI very good,goodi/good/goodi very good,goodi very good,good,good,"Good/like the show/everything,,,,,,"
idk,idk,idk,,,"Don't know,,,,,,"
I like everything about it. I find it interesting,like everything/like/everything/interesting/find,like everything/interesting/find,,,"Good/like the show/everything,Interesting/engaging,,,,,"
"The characters are outstanding, the writing is excellent, the show is sleek and beautiful looking, and I love the philosophical elements of the show and how they reflect on our current society. I also need to mention the outstanding score by Ramin Djawadi. He does an amazing job of portraying and driving the mood of each episode through his creative use of music. He should be winning way more awards for his work on this show. It's one of the best programs currently on HBO.",beautiful looking/current society/philosophical elements/ramin djawadi/outstanding score,beautiful looking/current society/philosophical elements/ramin djawadi/outstanding score,creative use/amazing job/ramin djawadi/outstanding score/current society,creative use/amazing job/ramin djawadi/outstanding score/current society,"Appealing characters/I like the characters,Like the writing/dialog,Other show characteristic mentions,Attention grabbing/holds interest/keeps you wanting to watch more,Relevant to 21st century/existing in the world today/reflects our current society,Like the music/song,Aired on HBO"
the technology aspects,technology aspects/aspects/technology,technology aspects,technology,technology,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
"It approaches and analyzes the human condition from a veiw-point not yet looked at before. It is interesting and without a doubt intriguing to see what, and who, a person would change about their life--making it a fantasy world--if only they were given the permission.",human condition/yet looked/person would change/veiw/point,human condition/yet looked/person would change/veiw/point,veiw -/fantasy world/human condition,veiw -/fantasy world/human condition,"Other show characteristic mentions,Interesting/engaging,Science fiction/fantasy,,,,"
it is compelling and interesting to see a new take/theory on how technology could play a part in the future,technology could play/new take/technology could/could play/take,technology could play/new take,new take/interesting/compelling,new take/interesting/compelling,"Attention grabbing/holds interest/keeps you wanting to watch more,Interesting/engaging,Unique/different,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
The cast the scifi elements mostly the integation of future and past,scifi elements mostly/scifi elements/elements mostly/past/future and past,scifi elements mostly/future and past,scifi elements/cast,scifi elements/cast,"Good cast/actors,Science fiction/fantasy,Other storyline/Plot mentions,,,,"
"The idea, the cast, the design, the plot. It’s just a great modern show to watch. I love it with the passion. Each character has a different vibe.",great modern show/idea/cast/design/plot,great modern show/idea/cast/design/plot,great modern show/different vibe,great modern show/different vibe,"Like the concept/idea of futuristic amusement park,Good cast/actors,Other storyline/Plot mentions,Good storyline/subject matter,Creative/innovative/modern,Good/like the show/everything,Appealing characters/I like the characters"
It is on HBO so i gave it a try,hbo/try/gave,hbo/try/gave,hbo,hbo,"Aired on HBO,,,,,,"
It is a good show,good show/show/good,good show,good,good,"Good/like the show/everything,,,,,,"
Very nice,nice,nice,,,"Good/like the show/everything,,,,,,"
The characters the details and the plot,characters the details/plot/characters/details,characters the details/plot,characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
"In general I really like the plot, I think it's excellent and of the highest quality.",highest quality/really like/plot/excellent/quality,highest quality/really like/plot/excellent,highest quality,highest quality,"Like the premise/setting/scenery,Good/like the show/everything,High quality show/high production values,,,,"
Y for the. In more gre for a way to all for gggg in her dime for. Then osc in great to,gre/way/gggg/dime/osc,gre/way/gggg/dime/osc,more gre/way/y,more gre/way,"None/no answer,,,,,,"
Nothing,nothing,nothing,,,"None/no answer,,,,,,"
"It is complex, interesting, about things I would not ordinarily think about, and especially my friends all love it and we watch together.",watch together/ordinarily think/interesting/complex/together,watch together/ordinarily think/interesting/complex,interesting/complex,interesting/complex,"Complex storyline,Interesting/engaging,Can watch with family/family likes the show,,,,"
It is incredibly well done and the acting is great.,incredibly well done/incredibly well/well done/great/acting is great,incredibly well done/acting is great,acting,acting,"Good storyline/subject matter,Good acting,,,,,"
The complex storyline helps keep me captivated.,complex storyline helps/storyline helps keep/complex storyline/storyline helps/helps keep,complex storyline helps/storyline helps keep,complex,complex,"Complex storyline,,,,,,"
Just confusing enough to really make me want to pay attention. The themes are big but have big implications as well not just in the show. Makes you thin!,pay attention/confusing enough/really make/attention/confusing,pay attention/confusing enough/really make,big implications/big/confusing,big implications/confusing,"All negative mentions,,,,,,"
The futuristic elements and how it keeps you hanging after each episode. It’s different,futuristic elements/episode/different/futuristic/elements,futuristic elements/episode/different,futuristic elements,futuristic elements,"Futuristic,Unique/different,,,,,"
The characters are the best part of the show.,best part/show/characters/best/part,best part/show/characters,best part,best part,"Appealing characters/I like the characters,,,,,,"
it is very intriguing. i always wonder what's going to happen next,intriguing/happen next/going/next/always,intriguing/happen next/going/always,intriguing,intriguing,"Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"The storyline, what the show is about. It is different from any other show I’ve watched.",storyline/watched/show/different,storyline/watched/show/different,other show/show,other show,"Good storyline/subject matter,Unique/different,,,,,"
"It has a cool premise, between the park and everything it gives me Jurassic Park vibes while also being completely different",jurassic park vibes/jurassic park/cool premise/completely different/park vibes,jurassic park vibes/cool premise/completely different,cool premise/park,cool premise/park,"Like the premise/setting/scenery,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
"I like the concept and I am emotionally invested. I started watching this show because of the concept now Im invested in the people. the new people, the park, the crazy fantasys and everything else that is going on. I would only stop watching if I got bored but its a really good show.",emotionally invested/concept/invested/people/new people,emotionally invested/concept/new people,new people/crazy/people/show,new people/crazy/show,"Like the concept/idea of futuristic amusement park,Other show characteristic mentions,Good cast/actors,Science fiction/fantasy,Good/like the show/everything,,"
Okay,okay,okay,,,"Good/like the show/everything,,,,,,"
the whole theme of the series.,whole theme/series/whole/theme,whole theme/series,whole,whole,"Good storyline/subject matter,,,,,,"
I love that there are no weak links in the cast and the sci fi elements are unlike anything else.,unlike anything else/anything else/weak links/unlike anything/else,unlike anything else/weak links,weak links,weak links,"Good cast/actors,Science fiction/fantasy,Unique/different,,,,"
I actually have only seen a few episodes out of order. I personally find the show to be somewhat hard to watch because of violence.,order/actually/seen/episodes/personally find,order/actually/seen/episodes/personally find,few episodes/order,few episodes/order,"All negative mentions,,,,,,"
there isn't anything else that makes me want to watch that i'm not already invested in,anything else/already invested/anything/else/makes,anything else/already invested/makes,,,"All negative mentions,,,,,,"
I don’t like the show.,like/show/like the show,like the show,,,"All negative mentions,,,,,,"
The creativity and interesting moves that they have on the show. The cast is one thing but its the interesting plot that always gets me. It's so different than any other show out there and has to be a top 15.,interesting moves/interesting plot/interesting/creativity/moves,interesting moves/interesting plot/creativity,interesting plot/interesting moves/other show/show,interesting plot/interesting moves/other show,"Creative/innovative/modern,Interesting/engaging,Good cast/actors,Unique/different,,,"
It was something my spouse chose to watch. Never was really much of a fan,spouse chose/watch/chose to watch/something/spouse,spouse chose/chose to watch/something,spouse,spouse,"All negative mentions,,,,,,"
The dark twist and turns of the plot also the it being futuristic.,dark twist/plot also/futuristic/dark/twist,dark twist/plot also/futuristic,dark twist,dark twist,"Dark/sarcastic,Suspense/Mystery/thrillers,Futuristic,,,,"
the characters,characters,characters,,,"Appealing characters/I like the characters,,,,,,"
The first one is the one I was looking for a text from you soon and have a great day and I will be,great day/first one/one/day/first,great day/first one,first one/one,first one,"None/no answer,,,,,,"
I really love the characters of the show and that’s why I’m interested to watch the show,really love/love the characters/show/interested/interested to watch,really love/love the characters/show/interested to watch,characters,characters,"Appealing characters/I like the characters,Interesting/engaging,,,,,"
"I enjoy science fiction. Even though it is hard to follow at times, it is very intriguing and makes you think. I usually have to google what stuff means or could mean after the show I order to follow it, and some stuff is off the wall, but the characters draw you in and keep you wanting more.",enjoy science fiction/science fiction/enjoy science/fiction/even though,enjoy science fiction/even though,science fiction/times/hard,science fiction/times/hard,"Science fiction/fantasy,Exciting,Thought provoking,Appealing characters/I like the characters,Attention grabbing/holds interest/keeps you wanting to watch more,,"
It’s intriguing & ahead of our time literally,intriguing/time literally/ahead/literally/time,intriguing/time literally/ahead,intriguing,intriguing,"Interesting/engaging,Futuristic,,,,,"
that how exciting every season and episode they have and they always make you think what will next,exciting every season/exciting every/every season/always make/next,exciting every season/always make/next,exciting,exciting,"Exciting,Thought provoking,,,,,"
its great,great,great,,,"Good/like the show/everything,,,,,,"
i like everything,like everything/everything/like,like everything,,,"Good/like the show/everything,,,,,,"
I like how it is sci-fi related. I like how they get sentience and how everything turns out.,like/sci/related/get sentience/everything turns,like/sci/related/get sentience/everything turns,sci,sci,"Science fiction/fantasy,Suspense/Mystery/thrillers,,,,,"
"The show is completely unique and in its own category. It has so many very defined levels to it. It has plot twists and is categorically exciting to watch. I love the characters also. It draws you in during season 1 because who would not want to pay to live out their fantasies, in addition to the behind the scenes action at the park.",completely unique/category/show/completely/unique,completely unique/category/show,scenes action/plot twists/own category/unique/show,scenes action/plot twists/own category/unique/show,"Unique/different,Suspense/Mystery/thrillers,Exciting,Appealing characters/I like the characters,Science fiction/fantasy,Like the action/adventurous,"
HJK,hjk,hjk,,,"Don't know,,,,,,"
The storyline and cast,cast/storyline and cast/storyline,storyline and cast,,,"Good storyline/subject matter,Good cast/actors,,,,,"
The unknown,unknown,unknown,,,"None/no answer,,,,,,"
Well written and very engaging,well written/well/engaging/written,well written/engaging,written,written,"Like the writing/dialog,Interesting/engaging,,,,,"
It's a fantasy world but there are still very relatable and relevant themes. I like the actors that are in teh show.,fantasy world/world/relevant themes/fantasy/teh show,fantasy world/relevant themes/teh show,relevant themes/fantasy world,relevant themes/fantasy world,"Science fiction/fantasy,Other show characteristic mentions,Good cast/actors,,,,"
my husband got me into it. the location of the show started me.,husband got/husband/got/show started/location,husband got/show started/location,husband,husband,"Have not watched enough to comment/not familiar with the show,,,,,,"
"I really don’t like this season, too confusing",like/season/confusing/like this season/really,confusing/like this season/really,season,season,"All negative mentions,,,,,,"
The concepts and implications of artificial intelligence,artificial intelligence/intelligence/concepts/implications/artificial,artificial intelligence/concepts/implications,artificial intelligence,artificial intelligence,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
THe sci fi genre and all of the intelligent writing. I like watching stories like west world that make you think and require a certain amount of engagement. Sometimes altering you mindset during the viewing.,intelligent writing/writing/like watching stories/watching stories like/stories like west,intelligent writing/like watching stories/watching stories like/stories like west,certain amount/west world/intelligent writing,certain amount/west world/intelligent writing,"Science fiction/fantasy,Like the writing/dialog,Thought provoking,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,,"
Differentiated relative to other shows,differentiated relative/differentiated/shows/relative,differentiated relative/shows,other,other,"Unique/different,,,,,,"
it is very funny,funny,funny,,,"Witty/humorous/funny/entertaining,,,,,,"
action,action,action,,,"Like the action/adventurous,,,,,,"
I do not find it to be a good show and have not made it past the first 3 episodes of the first season.,first season/good show/season/first/find,first season/good show/find,good show,good show,"All negative mentions,,,,,,"
not sure i would like show,would like show/like show/would like/show/sure,would like show/sure,,,"All negative mentions,,,,,,"
cast,cast,cast,,,"Good cast/actors,,,,,,"
All good,good,good,,,"Good/like the show/everything,,,,,,"
his former and also the story that l like,like/former/also/story/former and also,like/story/former and also,former,former,"Good storyline/subject matter,,,,,,"
great story line great cast,line great cast/great story line/story line great/great cast/story line,line great cast/great story line/story line great,great story/great,great story,"Good storyline/subject matter,Good cast/actors,,,,,"
"Is very good, excellent",excellent/good,excellent/good,good,good,"Good/like the show/everything,,,,,,"
Story,story,story,,,"Good storyline/subject matter,,,,,,"
I’m just trying to figure it all out.,trying/figure/trying to figure,trying to figure,,,"All negative mentions,,,,,,"
-,None,None,,,"None/no answer,,,,,,"
the collaboration of dolores and aaron paul,aaron paul/paul/collaboration/dolores/aaron,aaron paul/collaboration/dolores,aaron paul,aaron paul,"Other characters mentions,,,,,,"
I love their stories,stories/love their stories/love,love their stories,,,"Good storyline/subject matter,,,,,,"
AI is always super interesting,always super interesting/super interesting/always super/interesting/always,always super interesting,ai,ai,"Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,,,,,"
"I feel the graphics and shooting is high quality. The acting seems real and unforced. It keeps me engaged, I am not bored when watching it.",high quality/quality/feel/graphics/shooting,high quality/feel/graphics/shooting,high quality/shooting/graphics,high quality/shooting/graphics,"Good visuals/graphics/special effects,High quality show/high production values,Good acting,Looks realistic,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,"
"Featuring a star-studded cast with Evan Rachel Wood, Thandie Newton and Ed Harris. Watch the trailer and find out more about Westworld on HBO.com.",evan rachel wood/rachel wood/thandie newton/evan rachel/studded cast,evan rachel wood/thandie newton/studded cast,thandie newton/studded cast/rachel/ed,thandie newton/studded cast/rachel,"Like Evan Rachel Wood,Like Ed Harris,Other acting mentions,Like Thandie Newton,Aired on HBO,,"
A futuristic show that leads me to watch more and more each week. Good line up of good looking women.,futuristic show/week/futuristic/show/leads,futuristic show/week/leads,good looking/futuristic show/good,good looking/futuristic show,"Futuristic,Attention grabbing/holds interest/keeps you wanting to watch more,Good cast/actors,,,,"
"The best sci-fi show of all time and offers deeper thought than a philosophy or religious course. This show is utterly beautiful while also gritty, and even eerie at times. This show is a microcosm that represents what humans are capable of. Unpredictable, the script is intelligently written and pieced together. The filming is memorizing in cinematographic appeal. Among the many themes throughout Westworld, the nature of reality and the nature of humanity are at it's core. This show's plot, the logistical details of the AI, and the universe they exist in are well thought out and blend together nicely. Every character has a backstory and motives in such a way that builds interesting character depth. It is fun to see how characters adapt to the world as they learn. While multiple plot lines are intertwined, raw action and twists constantly occur in this crazy universe that is constantly on the verge of catastrophe. This show addresses questions such as: What does it mean to be human? What does it mean to exist? What is my purpose? This is explored and searched for by the main characters. While these are introspective questions that can be explored internally; parallel to this musing, their search is embedded in the reality they find themselves in externally. Moreover, it is represented by the mysterious prodding and puzzles intrinsic to the immediate world in which they exist. The sci-fi elements of the show touch on advanced AI, multiple realities, self awareness, machine learning, big data, and big tech privacy. This show is spot on by metaphorically addressing these concepts. These issues are becoming more relevant by the day in our lives by shaping the future of human society. Without a doubt, sci-fi has never been done better, making movies such as the Matrix fall to the feet of Westworld and it's unprecedented splendor.",offers deeper thought/religious course/offers deeper/show/best sci,offers deeper thought/religious course/show/best sci,interesting character depth/big tech/questions such/multiple plot/fi show,interesting character depth/big tech/questions such/multiple plot/fi show,"Good/like the show/everything,Thought provoking,Like the writing/dialog,Looks realistic,Technological aspects (inclusion of robots, exploring AI, etc.),Witty/humorous/funny/entertaining,Appealing characters/I like the characters"
It is simply great!,simply great/great/simply,simply great,,,"Good/like the show/everything,,,,,,"
