src	keywords
"I love the concept of AI beings achieving sentience, and the cast is amazing individually and together. The evolving issues and pace are perfect and draw you in like good sci-fi used to do."	"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,Other show characteristic mentions,Attention grabbing/holds interest/keeps you wanting to watch more,Science fiction/fantasy,"
hbbyuy	"None/no answer,,,,,,"
Compelling characters and great story lines!	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
Never know what's going to happen. It keeps me guessing.	"Suspense/Mystery/thrillers,,,,,,"
It's unique	"Unique/different,,,,,,"
it compels you to keep following looking for explanations and answers	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
it grabs my attention from beginning to end of every episode	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The writing and story line MADE it a good show. Now the writing and story line is terrible. Stopped watching halfway through the second episode of the new season.	"Good storyline/subject matter,Like the writing/dialog,,,,,"
THrilling show.very interested	"Suspense/Mystery/thrillers,Interesting/engaging,,,,,"
good quality acting. love sci fi shows in general. Love the way the robots think/act so much like humans but are completely different in motivations. Want to see what happens next.	"Good acting,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,,,"
The characters in the show and the story line.	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
na	"None/no answer,,,,,,"
LOVE DELORES ROLE	"Like the character Dolores Abernathy,,,,,,"
I remember seeing the movie when I was younger. This is a good adaptation of it.	"Good/like the show/everything,,,,,,"
The characters and the storyline	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I have only seen one show but I guess the fact that it pertains to science fiction.	"Have not watched enough to comment/not familiar with the show,Science fiction/fantasy,,,,,"
The plot	"Good storyline/subject matter,,,,,,"
Fun	"Witty/humorous/funny/entertaining,,,,,,"
it has such a good storyline and great characters!	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The plot and storyline	"Good storyline/subject matter,,,,,,"
Dolores’ storyline. She is a strong feminine chsracter	"Like the character Dolores Abernathy,Good storyline/subject matter,,,,,"
ajdflajdfkjsadf;js;fsjaf	"None/no answer,,,,,,"
"High quality, interesting story"	"High quality show/high production values,Interesting/engaging,Good storyline/subject matter,,,,"
Good flick	"Good/like the show/everything,,,,,,"
A good show offers an escape from the real world without being stupid and/or too complicated.	"Good/like the show/everything,Other show characteristic mentions,,,,,"
nothing	"None/no answer,,,,,,"
My husband watches it and I see some of the show while he watches it.	"Have not watched enough to comment/not familiar with the show,,,,,,"
"The appealing action, story, show"	"Like the action/adventurous,Good storyline/subject matter,Good/like the show/everything,,,,"
It’s visually stunning with compelling characters and fantastic premise but so damn hard to follow. I usually have to watch each episode twice to understand what happened	"Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,Good storyline/subject matter,,,,"
"This third season lost all of its charm to me. The end of the second season was so confusing, and the beginning of this one is not interesting. Super disappointed.. will probably not watch the rest of this season"	"All negative mentions,,,,,,"
Nothing	"None/no answer,,,,,,"
The special effects and acting are good.	"Good visuals/graphics/special effects,Good acting,,,,,"
The look into the future. The cast is great actors.	"Futuristic,Good cast/actors,,,,,"
It's ciol	"Good/like the show/everything,,,,,,"
The fact that it integrates elements of westerns into it.	"Western aspect,,,,,,"
"Heard good things including cast, writing & special effects"	"Heard good review/recommendations by family/friends,Good cast/actors,Like the writing/dialog,Good visuals/graphics/special effects,,,"
Not sure	"Don't know,,,,,,"
Very funny	"Witty/humorous/funny/entertaining,,,,,,"
Its a good show because it allows you to see what could be.	"Good/like the show/everything,Futuristic,,,,,"
i like to imagine how our progress is inevitably our destruction	"Science fiction/fantasy,Other realistic/association with real life mentions,,,,,"
it is very futirwitic to me and an escape	"Futuristic,Other misc. mentions,,,,,"
the evolution of humans and robots and how we are becoming so intertwined	"Technology involvement/overpowering human life,,,,,,"
I am a big fan of the science fiction genre and Westworld has great acting and graphics	"Science fiction/fantasy,Good acting,Good visuals/graphics/special effects,,,,"
"The series delves deep into the ethics of artificial intelligence,I like it for that"	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
bring more actresses	"All negative mentions,,,,,,"
It makes me happy when I watch it	"Witty/humorous/funny/entertaining,,,,,,"
"I've been hooked since the beginning of season 1. The show is mesmerizing, outstanding cast, acting and writing. Just love it. I've not yet watched season 3 it's on my DVR but plan to start it very soon."	"Good/like the show/everything,Good cast/actors,Good acting,Like the writing/dialog,Have not watched enough to comment/not familiar with the show,,"
"It continues a narrativre and how AI is evolving into ""real"" peoplw"	"Other realistic/association with real life mentions,,,,,,"
The science fiction aspect of it and how it’s based on an older movie. I also think it being on HBO is a plus because it is not as limited as it would be on a cable network like ABC	"Science fiction/fantasy,Other misc. mentions,Aired on HBO,,,,"
The characters. The storyline makes a good show.	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I keeps you guessing. You never really know what's going to happen next.	"Thought provoking,Suspense/Mystery/thrillers,,,,,"
Futuristic creations	"Futuristic,,,,,,"
Complex storytelling	"Complex storyline,,,,,,"
I like the cast and the story line its new and original	"Good cast/actors,Good storyline/subject matter,Unique/different,Original,,,"
they keep it interesting who knew delores was the original and everyone after was a piece of her now it makes you wonder who really created delores and why also seracs brother was supposed to be the crazy one i am really questioning that i think serac is the mental one	"Interesting/engaging,Like the character Dolores Abernathy,Other storyline/Plot mentions,,,,"
"originally it was the tie to the original movie, but I just enjoy the acting, production value and stories"	"Already seen/like the original movie,Good acting,Good storyline/subject matter,High quality show/high production values,,,"
The future of A.I. and the fantasy	"Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,,,,,"
good	"Good/like the show/everything,,,,,,"
the complexity of the story and timeline	"Complex storyline,Other misc. mentions,,,,,"
"The production has been solid throughout all the seasons with great writing, acting and overall story telling. The show is exciting and gives alot to talk about with fans."	"High quality show/high production values,Like the writing/dialog,Good acting,Good storyline/subject matter,Exciting,Heard good review/recommendations by family/friends,"
The cast members	"Good cast/actors,,,,,,"
I like the concept but just haven’t gotten around to watching past the first half of season 1	"Like the concept/idea of futuristic amusement park,Have not watched enough to comment/not familiar with the show,,,,,"
"nothing really. I am not into that type of show, I like realistic shows, subject matter I can relate to"	"None/no answer,,,,,,"
Is excellent and very good quality	"Good/like the show/everything,High quality show/high production values,,,,,"
The story is like nothing else on TV and keeps me entertained and hooked	"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
engaging and fresh	"Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,,,,,"
great its good	"Good/like the show/everything,,,,,,"
nice cool	"Good/like the show/everything,,,,,,"
I love you so I’ll see you soon bye love you guys love you too love you so I’ll see you tomorrow love you guys love you too love you so much love y’all I’ll see you soon love you guys bye love you guys love you too bye love you guys love you too bye	"None/no answer,,,,,,"
mellow	"Other show characteristic mentions,,,,,,"
The actors and some of the plots of the episodes.	"Good cast/actors,Multiple story lines,,,,,"
The futuristic elements and the Wild West vibe blend really well. There is an all star cast list.	"Futuristic,Western aspect,Good cast/actors,,,,"
No u are the me do un beso a la gente a tu alrededor de tu parte te quiero te extraño te quiero un abrazo grande a todos gracias gracias te quiero un abrazo grande a todos gracias gracias te quiero	"None/no answer,,,,,,"
very good	"Good/like the show/everything,,,,,,"
Definitely the actors	"Good cast/actors,,,,,,"
The artificial intelligence aspect	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The well-known actors and the overall plot. The futuristic elements make it all the more exciting.	"Good cast/actors,Good storyline/subject matter,Futuristic,Exciting,,,"
I like how it's a creepy amusement park and only certain people can get in.	"Like the concept/idea of futuristic amusement park,,,,,,"
the characters and actors	"Appealing characters/I like the characters,Good cast/actors,,,,,"
The mystery surrounding the storyline	"Suspense/Mystery/thrillers,,,,,,"
I have always loved robot shows and the grittiness like game of thrones is what keeps me watching. The nudity could be increased tastefully and *&@!# scenes would be favorable. Longer seasons are also something I want.	"Technological aspects (inclusion of robots, exploring AI, etc.),Other misc. mentions,,,,,"
the spirits are getting more exciting and intense	"Exciting,Intense/serious,,,,,"
Westworld draws me by being futuristic and thought provoking. This show has taken the sci-fi genre to another level of entertainment which I enjoy.	"Futuristic,Thought provoking,Science fiction/fantasy,Witty/humorous/funny/entertaining,,,"
The interesting plot	"Good storyline/subject matter,,,,,,"
everything really	"Good/like the show/everything,,,,,,"
The main story line. It's interesting.	"Good storyline/subject matter,,,,,,"
good	"Good/like the show/everything,,,,,,"
It is interesting and the the story lines keep me curious.	"Interesting/engaging,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
good	"Good/like the show/everything,,,,,,"
I like when there are twists in a show I do not see coming. Westworld always has many of these.	"Suspense/Mystery/thrillers,,,,,,"
"I always seem to be confused and yet it draws me back in, because I want answers. It’s inviting because you hope something will get answered in the next episode, which maybe only 25% of your questions get answered, but it still keeps me coming back."	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
Character arch	"Appealing characters/I like the characters,,,,,,"
The idea of a park where people can let their darker side loose without fear of consequences. It was an interesting look into the human psyche to see what lies just below the surface.	"Like the concept/idea of futuristic amusement park,Technology involvement/overpowering human life,,,,,"
I love sci fi in general but I really liked the whole robot part. I think robots are still something that’s interesting and it brings up questions of whether or not it’s ok to be a bad person just because you think somethings not human. I love the drama overall and the characters working together.	"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Like the drama,Other characters mentions,,,"
The storyline really keeps me wanting to see what happens next	"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"Everything about it, the whole concept"	"Good/like the show/everything,Like the concept/idea of futuristic amusement park,,,,,"
I like the Sci Fi genre and the focus on futuristic elements. It is a unique plot with unique futuristic possibilities that could exist in real life.	"Science fiction/fantasy,Futuristic,Unique/different,Like the premise/setting/scenery,,,"
"Everything was perfect, I think"	"Good/like the show/everything,,,,,,"
The acting is superb. Storyline is complex and intriguing. Shows keeps me guessing what will happen next.	"Good acting,Complex storyline,Interesting/engaging,Suspense/Mystery/thrillers,,,"
The futuristic aspect of the show is very interesting. The different twists they have added is also interesting. I hope they reopen the park.	"Futuristic,Suspense/Mystery/thrillers,Like the concept/idea of futuristic amusement park,,,,"
The futuristic style and the dialogue in the show is very appealing to and makes me very interested to watch more. I think this combined with the number of talented actors makes this a good show.	"Futuristic,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,Good cast/actors,Good/like the show/everything,,"
the girls are hot	"Good cast/actors,,,,,,"
The whole thing is intrigue built on top of itself in a fascinating way.	"Good/like the show/everything,,,,,,"
i into this show is so good	"Good/like the show/everything,,,,,,"
"The way it relates to issues today, but still is fantasy. The story, writing and acting are incredible."	"Relevant to 21st century/existing in the world today/reflects our current society,Science fiction/fantasy,Good storyline/subject matter,Like the writing/dialog,Good acting,,"
great quality each episode is good whit some boring scene but excellent	"High quality show/high production values,Good/like the show/everything,,,,,"
"The acting and storylines are great, the plot is new."	"Good acting,Good storyline/subject matter,Unique/different,,,,"
make the plot clearer	"All negative mentions,,,,,,"
THIS SHOW CONCEPT VERY EXCILENT	"Like the concept/idea of futuristic amusement park,,,,,,"
It is a cool show	"Good/like the show/everything,,,,,,"
I'm fascinated with artificial intelligence and I love the actors	"Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,,,,,"
"in the beginning it was new and different, and kept you guessing as to what was going to happen, and who was going to show up where. Then it became predictable, as if the writers had run out of ideas for the plot"	"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Storyline	"Good storyline/subject matter,,,,,,"
my husband made me watch this shows and my first impressions i dont like it until my husband keep watching it until i understand the story and it was cool very exciting movie	"Good/like the show/everything,Exciting,,,,,"
"It is fun, entertaining and full of interesting events"	"Witty/humorous/funny/entertaining,Interesting/engaging,,,,,"
"Great acting across the board, but Aaron Paul is the best it’s one his best roles"	"Good acting,Like Aaron Paul,,,,,"
Los robots de un parque de diversiones futurista basado en el Salvaje Oeste enloquecen y se convierten en una amenaza para los visitantes.	"All negative mentions,,,,,,"
has character interesting and good brand	"Appealing characters/I like the characters,,,,,,"
new story line	"Unique/different,,,,,,"
im drawn into the characters and i wanna see how this plays out	"Appealing characters/I like the characters,,,,,,"
Cast overall	"Good cast/actors,,,,,,"
The futuristic aspect	"Futuristic,,,,,,"
The characters	"Appealing characters/I like the characters,,,,,,"
the story line and the actors the 1st season was great	"Good storyline/subject matter,Good cast/actors,Good experience/liked the previous seasons,,,,"
The adventure and anticipation keeps me hanging on.	"Like the action/adventurous,Science fiction/fantasy,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
The imagination becoming reality is pretty cool. The sci-fi aspect of the the show is trilling.	"Science fiction/fantasy,Suspense/Mystery/thrillers,,,,,"
all the cast members and the plot and how twisted it is.	"Good cast/actors,Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,"
"I just love all the complex twist in the story, it keep me watching"	"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"I think the show is fantastic because it is unique in its storytelling, has compelling characters, features a diverse, talented cast, and is in high in production quality. I enjoy watching each week to catch up on the mysteries and trying to make guesses about twists and what's going to happen. I can never quite predict everything going on and that's part of the fun, getting to be surprised and engaged every week."	"Good/like the show/everything,Unique/different,Good storyline/subject matter,Appealing characters/I like the characters,Good cast/actors,High quality show/high production values,Attention grabbing/holds interest/keeps you wanting to watch more"
it is a high energy show	"Intense/serious,,,,,,"
HBO high quality direction and overall production.	"Other acting mentions,High quality show/high production values,,,,,"
The use of innovation technology and the overall cast of actors and the storyline is interesting that keeps you on the edge of your seat.	"Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
great things her erugtnow ove ryjerer	"None/no answer,,,,,,"
"The characters, Ed Harris, and Aron Paul"	"Appealing characters/I like the characters,Like Ed Harris,Like Aaron Paul,,,,"
The cast and the plots	"Good cast/actors,Good storyline/subject matter,,,,,"
"intelligent dialogue and plot direction, superior acting, beautiful cinematography"	"Like the writing/dialog,Like the premise/setting/scenery,Good acting,Good visuals/graphics/special effects,,,"
I love the concept	"Like the concept/idea of futuristic amusement park,,,,,,"
great	"Good/like the show/everything,,,,,,"
the backstory and the evolution of the characters	"Good storyline/subject matter,Like the characters development,,,,,"
remember the original movie so it is fun	"Already seen/like the original movie,Witty/humorous/funny/entertaining,,,,,"
The beauty of Evan Rachel Wood. Her character and looks are mezmorizing.	"Like Evan Rachel Wood,Appealing characters/I like the characters,,,,,"
I liked this all time	"Good/like the show/everything,,,,,,"
So unique	"Unique/different,,,,,,"
Nothing	"None/no answer,,,,,,"
characters and concept	"Appealing characters/I like the characters,Like the concept/idea of futuristic amusement park,,,,,"
it is different than other shows that are on in a good way	"Unique/different,,,,,,"
Has some of my favorite actors. It's a great show cause it is unique in its settings and storylines. It's different from other shows.	"Good cast/actors,Good/like the show/everything,Unique/different,Like the premise/setting/scenery,Good storyline/subject matter,,"
The concepts of AI and personal identity it explores	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The novel concept of the show.	"Unique/different,,,,,,"
"Makes us think, makes your imagination wander"	"Thought provoking,Science fiction/fantasy,,,,,"
Everything. I can’t pick just one. Seriously love this show	"Good/like the show/everything,,,,,,"
I think it's interesting how the AI become so real and adapt and change to be like real people. It really makes you think.	"Interesting/engaging,Technology involvement/overpowering human life,Thought provoking,,,,"
The movie and book it is based on.	"Other misc. mentions,,,,,,"
I don't like the sci-fi ness of it. So I don't plan to watch anymore	"All negative mentions,,,,,,"
season 1 was poor. I lost all interest in this show from that point. I won't be watching anymore	"All negative mentions,,,,,,"
This show has nothing that I would be interested in	"All negative mentions,,,,,,"
Very addicting	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"Love the AI, becoming aware, aspect. Seems like plausible view of our future."	"Technological aspects (inclusion of robots, exploring AI, etc.),Futuristic,,,,,"
I really like that now that Dolores is outside the park shes replacing people with duplicates with the pearls she took from the park. it adds a sense of tension to the show you don't know who to trust	"Like the character Dolores Abernathy,Other realistic/association with real life mentions,,,,,"
I love the show	"Good/like the show/everything,,,,,,"
good so	"Good/like the show/everything,,,,,,"
I love everything about it. I like that it twists I love the actors and characters. My fiance likes it so we can watch it together. I like that it has many different sets not just in one place.	"Good/like the show/everything,Suspense/Mystery/thrillers,Good cast/actors,Appealing characters/I like the characters,Can watch with family/family likes the show,Like the premise/setting/scenery,"
everything the whole element of the story	"Good/like the show/everything,Good storyline/subject matter,,,,,"
It is like unraveling a puzzle	"Suspense/Mystery/thrillers,,,,,,"
The great story	"Good storyline/subject matter,,,,,,"
I am interested in the artificial intelligence aspect and the complex storylines.	"Technological aspects (inclusion of robots, exploring AI, etc.),Complex storyline,,,,,"
"Wonderful sets, interesting storyline, surprises"	"Like the premise/setting/scenery,Good storyline/subject matter,Suspense/Mystery/thrillers,,,,"
It seems relevant to current events. What drew me to want to watch the show was how many people are talking about it	"Relevant to 21st century/existing in the world today/reflects our current society,Heard good review/recommendations by family/friends,,,,,"
It is interesting and has twists and turns	"Interesting/engaging,Suspense/Mystery/thrillers,,,,,"
It's an interesting show	"Interesting/engaging,,,,,,"
It’s addicting	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The themes are interesting and thought provoking.	"Interesting/engaging,Thought provoking,,,,,"
I like sci-fi shows	"Science fiction/fantasy,,,,,,"
Great acting	"Good acting,,,,,,"
Special effects	"Good visuals/graphics/special effects,,,,,,"
The acting the sets and the story	"Good acting,Like the premise/setting/scenery,Good storyline/subject matter,,,,"
I would like to start from the beginning and watch all of them	"Good/like the show/everything,,,,,,"
Story acting and production.	"Good storyline/subject matter,Good cast/actors,High quality show/high production values,,,,"
nothing	"None/no answer,,,,,,"
I like my futuristic it is and it's not like anything else that's on TV right now.	"Futuristic,Unique/different,,,,,"
THE STORIES AND CONCEPT OF THE SHOW IS UNIQUE	"Good storyline/subject matter,Like the concept/idea of futuristic amusement park,Unique/different,,,,"
the storyline	"Good storyline/subject matter,,,,,,"
Nothing makes me want to watch it.	"All negative mentions,,,,,,"
"everything, it is a so good serie, so different and interesting"	"Good/like the show/everything,Unique/different,Interesting/engaging,,,,"
I like the overall sci-fi theme and the idea that there is a simulation people are living in	"Science fiction/fantasy,Like the concept/idea of futuristic amusement park,,,,,"
The first season was great and 8 lived it and it just sucked me in. I like that it was so confusing and weird	"Good experience/liked the previous seasons,,,,,,"
They are able to tie everything back in	"Other storyline/Plot mentions,,,,,,"
The futuristic amusement park which is looked after by robotic host. I also like the aspect of the artificial intelligence consciousness.	"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
The over all show need to make time to watch it	"Other misc. mentions,,,,,,"
Everyone talking about it	"Heard good review/recommendations by family/friends,,,,,,"
Good	"Good/like the show/everything,,,,,,"
"Now of course, a series doesn't have to satisfy all these conditions to be great. Some shows don't have a good atmosphere, or interesting topics, or great characters, and are still very good.I think it."	"Good/like the show/everything,,,,,,"
The multicultural cast.	"Other acting mentions,,,,,,"
is excellent	"Good/like the show/everything,,,,,,"
I love all the chaos and action	"Suspense/Mystery/thrillers,Like the action/adventurous,,,,,"
Spiritual Components	"Other show type mentions,,,,,,"
It's original compared to everything else that's on TV right now. It's a bit hard to follow but that makes it exciting. It makes me want to rewatch it to understand it better and it also gives me something to talk about with other people that watch the show. I think it's a show that can be watched over and over again and each time it gives you a better insight. It's a show that makes you think. I also like the actors and am really happy to see Aaron Paul on a show again after watching him for so long on Breaking Bad.	"Original,Exciting,Attention grabbing/holds interest/keeps you wanting to watch more,Other show characteristic mentions,Good cast/actors,Like Aaron Paul,"
I like it because it is an intersection of the near future and reimagined past.	"Futuristic,Other storyline/Plot mentions,,,,,"
"Because it has a great plot, story, characters,and a lot of drama, which is always good to have"	"Like the premise/setting/scenery,Good storyline/subject matter,Appealing characters/I like the characters,Like the drama,Good/like the show/everything,,"
I like it cause it’s about robots and what happens when they revolt.	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
it is very modern with interesting twists	"Creative/innovative/modern,Suspense/Mystery/thrillers,,,,,"
I loved the first season! After that it’s so hard to follow.	"All negative mentions,,,,,,"
The cast.	"Good cast/actors,,,,,,"
The drama and the suspect and the script is just good overall.	"Like the drama,Like the writing/dialog,,,,,"
I love the story line. And I am curious what’s going to happens nex	"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
it's very entertaining	"Witty/humorous/funny/entertaining,,,,,,"
I just love the sci fi aspect. Don't care for regular real life world shows	"Science fiction/fantasy,,,,,,"
It is compelling without being too complex. While sometimes hard to fully understand it is never a dull moment.	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It's a complex storyline	"Complex storyline,,,,,,"
"the cast, features and music"	"Good cast/actors,Other High quality production values Mentions,Like the music/song,,,,"
i love the role of rancher's daughter.	"Other characters mentions,,,,,,"
I like it	"Good/like the show/everything,,,,,,"
"I love this show, it is my Wife's favorite show that we watch together too so it goes a long way! Would recommend adding some more star power because this is a fantastic premise and overall A+ + storylines."	"Witty/humorous/funny/entertaining,Can watch with family/family likes the show,Like the premise/setting/scenery,Good storyline/subject matter,,,"
The whole theme of the show is great	"Good storyline/subject matter,,,,,,"
It is ominous and mysterious. I like the darkness	"Other show characteristic mentions,Suspense/Mystery/thrillers,Dark/sarcastic,,,,"
Love the dark future	"Futuristic,,,,,,"
The story/plot drives me into it the most as I am fantasized by how good it is	"Good storyline/subject matter,Science fiction/fantasy,,,,,"
is really great tv show	"Good/like the show/everything,,,,,,"
"It really doesn't seem like my thing. If I've watched it, it's because I was watching something else and left it on/waiting for something."	"All negative mentions,,,,,,"
The fact that it's on hbo and is high production. The music is really amazing as well	"Aired on HBO,High quality show/high production values,Like the music/song,,,,"
i like the overall story of the show and i like to see what will happen next in the story.	"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"I like that it has a diverse cast and crew, I like how interesting it is, and I like that it is a high quality show."	"Good cast/actors,Interesting/engaging,High quality show/high production values,,,,"
No iption	"None/no answer,,,,,,"
It has an interesting narrative	"Interesting/engaging,,,,,,"
It is a concept never before filmed and produced	"Unique/different,,,,,,"
this is very excellent	"Good/like the show/everything,,,,,,"
Its the futuristic vibe of the show.	"Futuristic,,,,,,"
The front page of the show it shows robot so I tried it out and the name I like robots and western cilvaltion stuff like cowboys and stuff	"Technological aspects (inclusion of robots, exploring AI, etc.),Western aspect,,,,,"
how big the show is	"Other show characteristic mentions,,,,,,"
A very good show with a very good history	"Good/like the show/everything,Good storyline/subject matter,,,,,"
"that it is a unique series, with science fiction components"	"Unique/different,Science fiction/fantasy,,,,,"
the twist and turns it has	"Suspense/Mystery/thrillers,,,,,,"
i enjoyed the acting and the idea of a robot run theme park from watching the original show with yul brynner. i like science fiction overall and the set design and story lines are very good quality and interesting.	"Good acting,Technological aspects (inclusion of robots, exploring AI, etc.),Original,Other acting mentions,Science fiction/fantasy,Like the premise/setting/scenery,Good storyline/subject matter"
it's a different type of show I've never seen	"Unique/different,,,,,,"
I like the futuristic dystopian setting. I always enjoy sci fi movies and shows and this is a good fit. Like man y of HBO's shows it is high quality and makes it interesting to watch each week. I love the idea of living out your fantasy in this future world theme park.	"Futuristic,Science fiction/fantasy,Good/like the show/everything,High quality show/high production values,Interesting/engaging,Like the concept/idea of futuristic amusement park,"
it be what it be. I like what it do. I be watching that next season when it comes out too.	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
HAVE ONLY SEEN 1 EPISODE	"Have not watched enough to comment/not familiar with the show,,,,,,"
Watched some of season 1. It was pretty good but we just stopped and never went back. Maybe I’ll catch up again sometime but just not something I’m going out of my way for	"Have not watched enough to comment/not familiar with the show,,,,,,"
I enjoy everything about the show.	"Good/like the show/everything,,,,,,"
Good to pass the time	"Other misc. mentions,,,,,,"
The characters are unique. The acting is awesome	"Appealing characters/I like the characters,Good acting,,,,,"
I just like the plot - and how it is different than regular tv	"Like the premise/setting/scenery,Unique/different,,,,,"
It does an amazing job of character development and exploration. The storyline is incredible and thought provoking	"Like the characters development,Technological aspects (inclusion of robots, exploring AI, etc.),Good storyline/subject matter,Thought provoking,,,"
Futuristic design and development of idealized society and technological innovation	"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
the ai is so far advanced	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Difference	"Unique/different,,,,,,"
I want to see where it leads and how they are going to wrap it up. Specifically the story of the man in black and how he will find his way to delores	"Attention grabbing/holds interest/keeps you wanting to watch more,Other storyline/Plot mentions,,,,,"
vs Ravens18Bears - NS23160 20vs Patriots28Bears - NS11120 30at Cowboys1015Bears - NS3930 40vs Chargers	"None/no answer,,,,,,"
i love that it is so action packed and i love the story line of delores	"Like the action/adventurous,Good storyline/subject matter,Like the character Dolores Abernathy,,,,"
The overall plot and cast are super entertaining and intriguing	"Good storyline/subject matter,Good cast/actors,Witty/humorous/funny/entertaining,Interesting/engaging,,,"
It’s complex and intelligent	"Complex storyline,Other show characteristic mentions,,,,,"
The story and the unique look of the show	"Good storyline/subject matter,Unique/different,,,,,"
The storyline and the actors	"Good storyline/subject matter,Good cast/actors,,,,,"
Some few is unclear to me.	"All negative mentions,,,,,,"
Told by others to watch	"Heard good review/recommendations by family/friends,,,,,,"
"it intriguing, good photography and good acting"	"Interesting/engaging,Good visuals/graphics/special effects,Good acting,,,,"
It is interesting.	"Interesting/engaging,,,,,,"
getting boring	"All negative mentions,,,,,,"
"I think it will be a yes, and it will be a very good show."	"Good/like the show/everything,,,,,,"
"The characters are so interesting and complex, the plot twists are so exciting, and the thrill and suspense never end."	"Appealing characters/I like the characters,Suspense/Mystery/thrillers,Exciting,Like the character complexity,,,"
yes.it is very good show	"Good/like the show/everything,,,,,,"
I like how odd and controversial it is	"Other misc. mentions,,,,,,"
I find it so interesting to watch about an alternative reality. It is just interesting and intriguing in general.	"Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
It is has an engaging plot. I enjoy the action and plot twists. Show has great cast.	"Attention grabbing/holds interest/keeps you wanting to watch more,Like the premise/setting/scenery,Like the action/adventurous,Suspense/Mystery/thrillers,Good cast/actors,,"
i like the show	"Good/like the show/everything,,,,,,"
"It's different from other shows. It may be confusing at times, but I like that it makes me think. Sometimes I have to watch an episode a few times to figure out exactly what is going on, and even then I don't always catch everything."	"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I just think the whole concept is interesting. AI technology is already here. Who knows what the future holds.	"Like the concept/idea of futuristic amusement park,Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
Quality	"Good/like the show/everything,,,,,,"
I loved when it first showed the revealing of who was human and who was AI. As the show progressed it was awesome to watch AI realize they were being used and for them to come into their own and rewrite their own programs to keep from being a slave to human programming. Now it's fun to watch as Delores is going for payback.	"Technology involvement/overpowering human life,Witty/humorous/funny/entertaining,,,,,"
I love the whole concept and have read part of the book.	"Like the concept/idea of futuristic amusement park,,,,,,"
I love sci fi shows and Aaron paul is what makes it a good show	"Science fiction/fantasy,Like Aaron Paul,,,,,"
Westworld is intriguing and is what I need right now to binge watch while the state is on lockdown.	"Interesting/engaging,Have not watched enough to comment/not familiar with the show,,,,,"
"Just the great acting,the cast makes it realistic."	"Good acting,Good cast/actors,Looks realistic,,,,"
The futuristic components and backstory	"Futuristic,Good storyline/subject matter,,,,,"
I love the cast and the interactions between the characters. They're believable. The cast does a great job of portraying the characters and making them believable.	"Good cast/actors,Like the characters interaction,Looks realistic,,,,"
It gives me something to think about.	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
